geography,total,total_male,total_male_under_18_years,total_male_under_18_years_native,total_male_under_18_years_foreign_born,total_male_under_18_years_foreign_born_naturalized_u.s._citizen,total_male_under_18_years_foreign_born_not_a_u.s._citizen,total_male_18_years_and_over,total_male_18_years_and_over_native,total_male_18_years_and_over_foreign_born,total_male_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_male_18_years_and_over_foreign_born_not_a_u.s._citizen,total_female,total_female_under_18_years,total_female_under_18_years_native,total_female_under_18_years_foreign_born,total_female_under_18_years_foreign_born_naturalized_u.s._citizen,total_female_under_18_years_foreign_born_not_a_u.s._citizen,total_female_18_years_and_over,total_female_18_years_and_over_native,total_female_18_years_and_over_foreign_born,total_female_18_years_and_over_foreign_born_naturalized_u.s._citizen,total_female_18_years_and_over_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06049,31,21,0,0,0,0,0,21,21,0,0,0,10,6,6,0,0,0,4,4,0,0,0,"Modoc County, California",06,049
0500000US06047,70466,36231,12389,11663,726,39,687,23842,9788,14054,3850,10204,34235,11778,10890,888,194,694,22457,9524,12933,3721,9212,"Merced County, California",06,047
0500000US06033,7951,4088,1547,1547,0,0,0,2541,1312,1229,375,854,3863,1564,1506,58,35,23,2299,1255,1044,558,486,"Lake County, California",06,033
0500000US06043,309,211,8,8,0,0,0,203,123,80,60,20,98,1,1,0,0,0,97,36,61,25,36,"Mariposa County, California",06,043
0500000US06115,5269,2793,862,809,53,0,53,1931,822,1109,313,796,2476,688,670,18,0,18,1788,849,939,281,658,"Yuba County, California",06,115
0500000US06013,102876,52824,15920,14680,1240,182,1058,36904,13633,23271,7080,16191,50052,15479,14196,1283,228,1055,34573,12708,21865,7759,14106,"Contra Costa County, California",06,013
0500000US06027,409,227,18,18,0,0,0,209,109,100,21,79,182,59,41,18,18,0,123,54,69,20,49,"Inyo County, California",06,027
0500000US06035,865,721,144,143,1,0,1,577,376,201,24,177,144,97,96,1,1,0,47,11,36,21,15,"Lassen County, California",06,035
0500000US06099,59966,30987,9544,9005,539,0,539,21443,9827,11616,3518,8098,28979,8843,8230,613,7,606,20136,8873,11263,3646,7617,"Stanislaus County, California",06,099
0500000US06083,55909,29608,8613,8211,402,83,319,20995,9694,11301,3926,7375,26301,7741,7283,458,45,413,18560,8949,9611,2916,6695,"Santa Barbara County, California",06,083
0500000US06097,62101,33104,9992,9318,674,29,645,23112,7163,15949,4338,11611,28997,9861,8800,1061,101,960,19136,6081,13055,3426,9629,"Sonoma County, California",06,097
0500000US06103,3505,1728,442,439,3,3,0,1286,591,695,334,361,1777,475,473,2,2,0,1302,729,573,309,264,"Tehama County, California",06,103
0500000US06025,44841,24479,6034,5778,256,19,237,18445,10521,7924,2926,4998,20362,5793,5565,228,16,212,14569,7491,7078,3180,3898,"Imperial County, California",06,025
0500000US06051,940,541,118,97,21,0,21,423,162,261,60,201,399,138,138,0,0,0,261,27,234,27,207,"Mono County, California",06,051
0500000US06069,5181,2747,688,659,29,23,6,2059,1298,761,347,414,2434,550,516,34,34,0,1884,1076,808,412,396,"San Benito County, California",06,069
0500000US06001,155248,80585,22330,20613,1717,222,1495,58255,24476,33779,10094,23685,74663,20394,18672,1722,182,1540,54269,23715,30554,9375,21179,"Alameda County, California",06,001
0500000US06067,109241,55280,16416,15566,850,89,761,38864,21032,17832,6025,11807,53961,16613,15462,1151,174,977,37348,20689,16659,6373,10286,"Sacramento County, California",06,067
0500000US06017,5026,2565,589,503,86,9,77,1976,748,1228,335,893,2461,913,882,31,12,19,1548,626,922,167,755,"El Dorado County, California",06,017
0500000US06055,17573,9146,2440,2146,294,89,205,6706,2327,4379,1356,3023,8427,2632,2390,242,0,242,5795,2152,3643,1295,2348,"Napa County, California",06,055
0500000US06073,207640,103788,27149,25640,1509,489,1020,76639,39053,37586,14484,23102,103852,26548,24969,1579,450,1129,77304,35253,42051,16628,25423,"San Diego County, California",06,073
0500000US06053,93107,47461,15811,14598,1213,85,1128,31650,9760,21890,3120,18770,45646,15540,14221,1319,79,1240,30106,9976,20130,3143,16987,"Monterey County, California",06,053
0500000US06075,64800,34626,6731,6257,474,165,309,27895,11623,16272,6084,10188,30174,6451,5881,570,106,464,23723,10316,13407,5769,7638,"San Francisco County, California",06,075
0500000US06091,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Sierra County, California",06,091
0500000US06107,52819,26564,8421,7819,602,53,549,18143,9810,8333,2476,5857,26255,8375,8013,362,60,302,17880,10195,7685,2500,5185,"Tulare County, California",06,107
0500000US06113,19837,10295,2755,2541,214,0,214,7540,3487,4053,1434,2619,9542,2842,2644,198,77,121,6700,3380,3320,1241,2079,"Yolo County, California",06,113
0500000US06023,5318,2698,792,773,19,0,19,1906,1040,866,175,691,2620,745,681,64,0,64,1875,1110,765,138,627,"Humboldt County, California",06,023
0500000US06057,1823,940,259,202,57,0,57,681,370,311,73,238,883,370,370,0,0,0,513,300,213,9,204,"Nevada County, California",06,057
0500000US06003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alpine County, California",06,003
0500000US06039,20081,10299,2712,2524,188,0,188,7587,3212,4375,1083,3292,9782,2617,2286,331,39,292,7165,3290,3875,1103,2772,"Madera County, California",06,039
0500000US06045,4644,2649,602,472,130,25,105,2047,810,1237,348,889,1995,582,569,13,0,13,1413,526,887,301,586,"Mendocino County, California",06,045
0500000US06087,32786,17281,5328,5129,199,30,169,11953,4481,7472,2116,5356,15505,4746,4577,169,0,169,10759,4583,6176,1830,4346,"Santa Cruz County, California",06,087
0500000US06105,416,213,29,29,0,0,0,184,47,137,0,137,203,39,29,10,0,10,164,8,156,6,150,"Trinity County, California",06,105
0500000US06037,2101084,1054254,302468,286314,16154,1761,14393,751786,318053,433733,148612,285121,1046830,292912,277911,15001,1742,13259,753918,315486,438432,174839,263593,"Los Angeles County, California",06,037
0500000US06065,474855,238356,75554,72275,3279,256,3023,162802,82674,80128,29614,50514,236499,73724,70312,3412,390,3022,162775,81249,81526,31474,50052,"Riverside County, California",06,065
0500000US06071,360213,183433,54418,52454,1964,212,1752,129015,69850,59165,21973,37192,176780,52556,50636,1920,245,1675,124224,65123,59101,23376,35725,"San Bernardino County, California",06,071
0500000US06085,210878,108969,31273,29124,2149,159,1990,77696,34933,42763,12365,30398,101909,30343,28519,1824,214,1610,71566,33369,38197,12603,25594,"Santa Clara County, California",06,085
0500000US06041,22779,12513,4004,3517,487,8,479,8509,2405,6104,843,5261,10266,3651,3156,495,71,424,6615,1666,4949,1025,3924,"Marin County, California",06,041
0500000US06061,11661,5872,1535,1494,41,0,41,4337,2125,2212,674,1538,5789,1840,1592,248,68,180,3949,2295,1654,800,854,"Placer County, California",06,061
0500000US06093,690,367,44,31,13,0,13,323,135,188,53,135,323,71,71,0,0,0,252,170,82,36,46,"Siskiyou County, California",06,093
0500000US06089,3711,1853,694,656,38,33,5,1159,700,459,183,276,1858,573,572,1,0,1,1285,875,410,235,175,"Shasta County, California",06,089
0500000US06095,39516,22067,6929,6347,582,56,526,15138,6917,8221,3028,5193,17449,5029,4785,244,72,172,12420,5740,6680,2177,4503,"Solano County, California",06,095
0500000US06015,909,375,99,99,0,0,0,276,221,55,31,24,534,196,173,23,0,23,338,179,159,32,127,"Del Norte County, California",06,015
0500000US06011,1169,643,176,153,23,0,23,467,219,248,98,150,526,126,120,6,0,6,400,162,238,99,139,"Colusa County, California",06,011
0500000US06021,2542,1299,353,353,0,0,0,946,285,661,216,445,1243,429,364,65,0,65,814,330,484,137,347,"Glenn County, California",06,021
0500000US06007,9646,5090,1183,1151,32,24,8,3907,2165,1742,657,1085,4556,1177,1063,114,39,75,3379,1941,1438,556,882,"Butte County, California",06,007
0500000US06031,26842,16453,3760,3581,179,0,179,12693,7429,5264,998,4266,10389,3369,3155,214,0,214,7020,4119,2901,858,2043,"Kings County, California",06,031
0500000US06063,368,196,51,51,0,0,0,145,82,63,38,25,172,15,15,0,0,0,157,125,32,5,27,"Plumas County, California",06,063
0500000US06079,11804,6546,1768,1768,0,0,0,4778,2739,2039,859,1180,5258,1594,1573,21,0,21,3664,2093,1571,782,789,"San Luis Obispo County, California",06,079
0500000US06019,158359,82475,26412,24951,1461,64,1397,56063,30686,25377,5940,19437,75884,24610,23350,1260,73,1187,51274,28373,22901,6250,16651,"Fresno County, California",06,019
0500000US06029,88403,46198,14843,14249,594,23,571,31355,17054,14301,4766,9535,42205,13128,12789,339,12,327,29077,16023,13054,4119,8935,"Kern County, California",06,029
0500000US06059,373605,188964,57684,54425,3259,276,2983,131280,48970,82310,21842,60468,184641,55844,52356,3488,286,3202,128797,49821,78976,24225,54751,"Orange County, California",06,059
0500000US06111,49513,24833,6370,6046,324,19,305,18463,9201,9262,4015,5247,24680,6520,6120,400,45,355,18160,9377,8783,4411,4372,"Ventura County, California",06,111
0500000US06009,472,304,88,81,7,0,7,216,184,32,0,32,168,8,8,0,0,0,160,121,39,27,12,"Calaveras County, California",06,009
0500000US06101,4185,1913,393,377,16,10,6,1520,683,837,431,406,2272,808,743,65,61,4,1464,748,716,403,313,"Sutter County, California",06,101
0500000US06081,82231,43158,11776,10933,843,190,653,31382,10057,21325,7327,13998,39073,10726,10016,710,117,593,28347,8950,19397,7990,11407,"San Mateo County, California",06,081
0500000US06109,1636,1183,160,160,0,0,0,1023,845,178,24,154,453,147,144,3,0,3,306,195,111,50,61,"Tuolumne County, California",06,109
0500000US06077,80536,41663,13919,13212,707,49,658,27744,12782,14962,4177,10785,38873,13469,12937,532,96,436,25404,11989,13415,4388,9027,"San Joaquin County, California",06,077
0500000US06005,1366,1016,48,37,11,0,11,968,618,350,165,185,350,98,94,4,0,4,252,145,107,63,44,"Amador County, California",06,005
