geography,total,total_native_population,total_native_population_5_to_17_years,total_native_population_5_to_17_years_speak_only_english,total_native_population_5_to_17_years_speak_spanish,total_native_population_5_to_17_years_speak_spanish_speak_english_very_well,total_native_population_5_to_17_years_speak_spanish_speak_english_less_than_very_well,total_native_population_5_to_17_years_speak_other_languages,total_native_population_5_to_17_years_speak_other_languages_speak_english_very_well,total_native_population_5_to_17_years_speak_other_languages_speak_english_less_than_very_well,total_native_population_18_years_and_over,total_native_population_18_years_and_over_speak_only_english,total_native_population_18_years_and_over_speak_spanish,total_native_population_18_years_and_over_speak_spanish_speak_english_very_well,total_native_population_18_years_and_over_speak_spanish_speak_english_less_than_very_well,total_native_population_18_years_and_over_speak_other_languages,total_native_population_18_years_and_over_speak_other_languages_speak_english_very_well,total_native_population_18_years_and_over_speak_other_languages_speak_english_less_than_very_well,total_foreign-born_population,total_foreign-born_population_naturalized_u.s._citizen,total_foreign-born_population_naturalized_u.s._citizen_5_to_17_years,total_foreign-born_population_naturalized_u.s._citizen_5_to_17_years_speak_only_english,total_foreign-born_population_naturalized_u.s._citizen_5_to_17_years_speak_spanish,total_foreign-born_population_naturalized_u.s._citizen_5_to_17_years_speak_spanish_speak_english_very_well,total_foreign-born_population_naturalized_u.s._citizen_5_to_17_years_speak_spanish_speak_english_less_than_very_well,total_foreign-born_population_naturalized_u.s._citizen_5_to_17_years_speak_other_languages,total_foreign-born_population_naturalized_u.s._citizen_5_to_17_years_speak_other_languages_speak_english_very_well,total_foreign-born_population_naturalized_u.s._citizen_5_to_17_years_speak_other_languages_speak_english_less_than_very_well,total_foreign-born_population_naturalized_u.s._citizen_18_years_and_over,total_foreign-born_population_naturalized_u.s._citizen_18_years_and_over_speak_only_english,total_foreign-born_population_naturalized_u.s._citizen_18_years_and_over_speak_spanish,total_foreign-born_population_naturalized_u.s._citizen_18_years_and_over_speak_spanish_speak_english_very_well,total_foreign-born_population_naturalized_u.s._citizen_18_years_and_over_speak_spanish_speak_english_less_than_very_well,total_foreign-born_population_naturalized_u.s._citizen_18_years_and_over_speak_other_languages,total_foreign-born_population_naturalized_u.s._citizen_18_years_and_over_speak_other_languages_speak_english_very_well,total_foreign-born_population_naturalized_u.s._citizen_18_years_and_over_speak_other_languages_speak_english_less_than_very_well,total_foreign-born_population_not_a_u.s._citizen,total_foreign-born_population_not_a_u.s._citizen_5_to_17_years,total_foreign-born_population_not_a_u.s._citizen_5_to_17_years_speak_only_english,total_foreign-born_population_not_a_u.s._citizen_5_to_17_years_speak_spanish,total_foreign-born_population_not_a_u.s._citizen_5_to_17_years_speak_spanish_speak_english_very_well,total_foreign-born_population_not_a_u.s._citizen_5_to_17_years_speak_spanish_speak_english_less_than_very_well,total_foreign-born_population_not_a_u.s._citizen_5_to_17_years_speak_other_languages,total_foreign-born_population_not_a_u.s._citizen_5_to_17_years_speak_other_languages_speak_english_very_well,total_foreign-born_population_not_a_u.s._citizen_5_to_17_years_speak_other_languages_speak_english_less_than_very_well,total_foreign-born_population_not_a_u.s._citizen_18_years_and_over,total_foreign-born_population_not_a_u.s._citizen_18_years_and_over_speak_only_english,total_foreign-born_population_not_a_u.s._citizen_18_years_and_over_speak_spanish,total_foreign-born_population_not_a_u.s._citizen_18_years_and_over_speak_spanish_speak_english_very_well,total_foreign-born_population_not_a_u.s._citizen_18_years_and_over_speak_spanish_speak_english_less_than_very_well,total_foreign-born_population_not_a_u.s._citizen_18_years_and_over_speak_other_languages,total_foreign-born_population_not_a_u.s._citizen_18_years_and_over_speak_other_languages_speak_english_very_well,total_foreign-born_population_not_a_u.s._citizen_18_years_and_over_speak_other_languages_speak_english_less_than_very_well,name,state,county
0500000US06049,8637,7996,1341,1074,267,220,47,0,0,0,6655,6279,272,256,16,104,104,0,641,128,0,0,0,0,0,0,0,0,128,19,72,0,72,37,2,35,513,37,0,37,12,25,0,0,0,476,37,351,55,296,88,74,14,"Modoc County, California",06,049
0500000US06047,246042,178161,55724,28961,24094,17800,6294,2669,2226,443,122437,85118,32336,28320,4016,4983,4463,520,67881,26735,718,69,315,204,111,334,242,92,26017,1828,14892,5547,9345,9297,4297,5000,41146,2074,59,1837,1214,623,178,92,86,39072,1373,33141,5745,27396,4558,1788,2770,"Merced County, California",06,047
0500000US06033,60495,54890,9312,7209,2004,1497,507,99,97,2,45578,42673,2699,2231,468,206,178,28,5605,2602,35,0,35,35,0,0,0,0,2567,759,1306,640,666,502,367,135,3003,181,13,168,34,134,0,0,0,2822,591,2052,319,1733,179,89,90,"Lake County, California",06,033
0500000US06043,16900,15692,2114,1879,205,205,0,30,30,0,13578,12900,502,463,39,176,176,0,1208,551,0,0,0,0,0,0,0,0,551,125,121,70,51,305,232,73,657,30,10,20,20,0,0,0,0,627,155,235,83,152,237,139,98,"Mariposa County, California",06,043
0500000US06115,68562,59489,14333,11197,2390,1984,406,746,522,224,45156,39892,4129,3944,185,1135,1006,129,9073,4345,19,19,0,0,0,0,0,0,4326,631,1776,772,1004,1919,945,974,4728,231,10,215,114,101,6,6,0,4497,301,3400,709,2691,796,425,371,"Yuba County, California",06,115
0500000US06013,1058105,782086,182500,128880,37143,30771,6372,16477,14611,1866,599586,525975,48303,42749,5554,25308,21569,3739,276019,147908,3647,1128,731,526,205,1788,1547,241,144261,23280,34422,16416,18006,86559,50693,35866,128111,9783,1253,4643,3123,1520,3887,2231,1656,118328,9533,64817,13390,51427,43978,20806,23172,"Contra Costa County, California",06,013
0500000US06027,17159,15448,2610,2030,542,494,48,38,34,4,12838,12152,503,449,54,183,145,38,1711,800,18,0,18,0,18,0,0,0,782,207,423,294,129,152,126,26,911,44,0,44,30,14,0,0,0,867,197,595,124,471,75,45,30,"Inyo County, California",06,027
0500000US06035,30054,28213,3599,3293,288,192,96,18,18,0,24614,21213,3007,2263,744,394,340,54,1841,512,5,0,1,1,0,4,4,0,507,166,173,85,88,168,96,72,1329,5,2,3,1,2,0,0,0,1324,115,873,190,683,336,154,182,"Lassen County, California",06,035
0500000US06099,496438,386131,102172,61986,36374,31310,5064,3812,3105,707,283959,220975,54243,48017,6226,8741,7673,1068,110307,48103,767,171,178,144,34,418,297,121,47336,3925,22667,9208,13459,20744,9571,11173,62204,4150,139,3053,1946,1107,958,409,549,58054,2303,47007,7680,39327,8744,3328,5416,"Stanislaus County, California",06,099
0500000US06083,414427,313053,66272,35553,29063,24027,5036,1656,1451,205,246781,202804,36523,32233,4290,7454,6788,666,101374,34629,401,53,260,206,54,88,75,13,34228,6695,18594,7502,11092,8939,5264,3675,66745,4044,370,3020,1804,1216,654,438,216,62701,4464,48952,8017,40935,9285,3920,5365,"Santa Barbara County, California",06,083
0500000US06097,474758,391801,72072,48647,21423,16569,4854,2002,1653,349,319729,291455,22000,19031,2969,6274,5660,614,82957,35881,616,205,263,176,87,148,107,41,35265,7861,14898,6396,8502,12506,7482,5024,47076,3073,276,2416,1497,919,381,241,140,44003,4991,32718,6653,26065,6294,3453,2841,"Sonoma County, California",06,097
0500000US06103,59371,53591,11082,8078,2862,2101,761,142,87,55,42509,39163,3086,2671,415,260,197,63,5780,2964,15,9,6,4,2,0,0,0,2949,507,1939,815,1124,503,275,228,2816,154,29,125,0,125,0,0,0,2662,190,2403,534,1869,69,44,25,"Tehama County, California",06,103
0500000US06025,164834,108004,33791,9559,24063,18614,5449,169,157,12,74213,27917,45796,36999,8797,500,472,28,56830,27251,908,33,870,483,387,5,5,0,26343,937,24405,8190,16215,1001,405,596,29579,1912,4,1791,560,1231,117,49,68,27667,923,25993,4313,21680,751,257,494,"Imperial County, California",06,025
0500000US06051,13563,11117,2222,1321,899,899,0,2,2,0,8895,8349,420,383,37,126,125,1,2446,391,0,0,0,0,0,0,0,0,391,160,135,51,84,96,96,0,2055,21,0,21,21,0,0,0,0,2034,324,1462,516,946,248,240,8,"Mono County, California",06,051
0500000US06069,54782,42772,11267,7220,3937,2907,1030,110,84,26,31505,24004,7091,5980,1111,410,369,41,12010,5018,155,83,72,55,17,0,0,0,4863,781,3180,1144,2036,902,671,231,6992,318,51,249,164,85,18,18,0,6674,421,5744,975,4769,509,163,346,"San Benito County, California",06,069
0500000US06001,1531853,1011313,225140,136936,48806,40455,8351,39398,33593,5805,786173,654943,73395,64835,8560,57835,50907,6928,520540,275768,5825,1305,526,242,284,3994,2928,1066,269943,36208,38255,17896,20359,195480,102405,93075,244772,16185,1648,5043,3369,1674,9494,5882,3612,228587,18212,85316,16592,68724,125059,61555,63504,"Alameda County, California",06,001
0500000US06067,1396167,1088207,245383,177905,38159,31605,6554,29319,23244,6075,842824,737553,63773,55502,8271,41498,33784,7714,307960,175354,5084,1296,520,429,91,3268,2453,815,170270,21559,30766,15319,15447,117945,55213,62732,132606,12189,1004,4140,2818,1322,7045,4455,2590,120417,9228,52591,12156,40435,58598,21254,37344,"Sacramento County, California",06,067
0500000US06017,176444,159475,29150,25382,2582,2074,508,1186,1067,119,130325,124640,3691,3231,460,1994,1820,174,16969,9306,264,129,48,16,32,87,67,20,9042,2765,1673,1096,577,4604,2944,1660,7663,178,32,86,68,18,60,60,0,7485,1652,3634,1229,2405,2199,1506,693,"El Dorado County, California",06,017
0500000US06055,133501,102676,21268,12712,7869,6638,1231,687,624,63,81408,70566,8799,7533,1266,2043,1825,218,30825,14083,280,80,130,130,0,70,61,9,13803,2335,6456,2012,4444,5012,3235,1777,16742,1294,188,983,711,272,123,110,13,15448,1242,11936,2113,9823,2270,1177,1093,"Napa County, California",06,055
0500000US06073,3070763,2301280,483425,309131,143770,119984,23786,30524,25732,4792,1817855,1501484,259961,224756,35205,56410,48239,8171,769483,398351,8607,2347,2724,1717,1007,3536,3051,485,389744,67052,136833,65425,71408,185859,103515,82344,371132,23528,1742,11024,8235,2789,10762,5971,4791,347604,32033,206420,52250,154170,109151,48871,60280,"San Diego County, California",06,073
0500000US06053,400322,271894,75330,29619,44083,28468,15615,1628,1357,271,196564,143476,47459,41380,6079,5629,4890,739,128428,35872,703,207,314,170,144,182,182,0,35169,5922,17415,6627,10788,11832,6850,4982,92556,5430,248,4775,2163,2612,407,251,156,87126,4217,76187,9304,66883,6722,3121,3601,"Monterey County, California",06,053
0500000US06075,825057,525787,69811,39479,11714,10078,1636,18618,15345,3273,455976,378104,28948,26165,2783,48924,41267,7657,299270,187755,2476,542,333,248,85,1601,1129,472,185279,26785,20574,10427,10147,137920,48889,89031,111515,4459,388,1097,751,346,2974,1556,1418,107056,18763,28041,8278,19763,60252,26822,33430,"San Francisco County, California",06,075
0500000US06091,2778,2703,319,300,19,19,0,0,0,0,2384,2235,134,118,16,15,15,0,75,35,0,0,0,0,0,0,0,0,35,16,18,3,15,1,1,0,40,0,0,0,0,0,0,0,0,40,0,40,31,9,0,0,0,"Sierra County, California",06,091
0500000US06107,419508,317019,99510,50023,47863,32135,15728,1624,1014,610,217509,148128,65516,46419,19097,3865,3001,864,102489,32819,661,219,289,108,181,153,84,69,32158,2593,22526,7949,14577,7039,3097,3942,69670,4371,154,3770,1586,2184,447,154,293,65299,2487,58723,7331,51392,4089,1265,2824,"Tulare County, California",06,107
0500000US06113,200208,152321,30884,19237,9421,7952,1469,2226,1832,394,121437,99991,13588,12049,1539,7858,7033,825,47887,21992,482,60,130,109,21,292,208,84,21510,3296,7618,3671,3947,10596,5936,4660,25895,1948,146,806,460,346,996,353,643,23947,1921,12870,3877,8993,9156,4037,5119,"Yolo County, California",06,113
0500000US06023,128103,120869,18610,15967,1553,1407,146,1090,655,435,102259,95685,3831,3382,449,2743,2381,362,7234,3074,97,87,0,0,0,10,10,0,2977,1000,629,427,202,1348,738,610,4160,264,10,181,172,9,73,33,40,3896,533,2540,643,1897,823,441,382,"Humboldt County, California",06,023
0500000US06057,94626,88685,13006,11697,1048,907,141,261,259,2,75679,72648,1682,1458,224,1349,1213,136,5941,2972,67,54,0,0,0,13,0,13,2905,1382,465,342,123,1058,811,247,2969,87,0,73,1,72,14,3,11,2882,761,1527,559,968,594,370,224,"Nevada County, California",06,057
0500000US06003,1180,1157,234,206,14,14,0,14,12,2,923,890,3,2,1,30,17,13,23,14,1,1,0,0,0,0,0,0,13,7,5,5,0,1,0,1,9,0,0,0,0,0,0,0,0,9,0,4,0,4,5,1,4,"Alpine County, California",06,003
0500000US06039,142745,109720,29036,15686,12748,10651,2097,602,539,63,80684,59979,19655,16530,3125,1050,969,81,33025,9662,316,109,167,94,73,40,40,0,9346,1254,6246,2925,3321,1846,967,879,23363,1700,42,1658,947,711,0,0,0,21663,669,20010,3303,16707,984,306,678,"Madera County, California",06,039
0500000US06045,82322,70904,13111,9279,3596,2988,608,236,225,11,57793,53648,3479,3125,354,666,598,68,11418,4184,159,11,139,73,66,9,9,0,4025,845,2188,712,1476,992,678,314,7234,593,34,510,391,119,49,48,1,6641,515,5691,1340,4351,435,256,179,"Mendocino County, California",06,045
0500000US06087,258509,209258,37393,22265,14153,10386,3767,975,729,246,171865,145639,21149,18888,2261,5077,4694,383,49251,18526,521,397,72,61,11,52,52,0,18005,4265,8886,3566,5320,4854,3465,1389,30725,1679,176,1243,566,677,260,200,60,29046,3264,21410,3605,17805,4372,2619,1753,"Santa Cruz County, California",06,087
0500000US06105,12468,11802,1584,1498,79,64,15,7,7,0,10218,9495,529,527,2,194,185,9,666,245,0,0,0,0,0,0,0,0,245,110,38,30,8,97,58,39,421,10,0,10,10,0,0,0,0,411,56,323,53,270,32,21,11,"Trinity County, California",06,105
0500000US06037,9473811,6009496,1532555,723206,694861,593222,101639,114488,97505,16983,4476941,3095568,1147247,1033681,113566,234126,207307,26819,3464315,1764108,22770,5515,7393,4932,2461,9862,7409,2453,1741338,179504,713793,271301,442492,848041,406277,441764,1700207,86344,6339,51541,32748,18793,28464,15851,12613,1613863,97308,1109274,222807,886467,407281,156564,250717,"Los Angeles County, California",06,037
0500000US06065,2197304,1686615,436565,272463,151957,134201,17756,12145,10654,1491,1250050,974618,250532,217287,33245,24900,21336,3564,510689,241091,3819,1160,1430,1187,243,1229,980,249,237272,36461,126763,55457,71306,74048,43628,30420,269598,15639,1403,11022,8243,2779,3214,1771,1443,253959,27568,190973,45178,145795,35418,15928,19490,"Riverside County, California",06,065
0500000US06071,1967150,1524719,404828,257821,135427,120328,15099,11580,10256,1324,1119891,857818,239895,211652,28243,22178,18976,3202,442431,215303,2410,559,1088,726,362,763,549,214,212893,25345,116983,51052,65931,70565,39747,30818,227128,12415,990,8253,5723,2530,3172,1978,1194,214713,16472,162576,36632,125944,35665,13880,21785,"San Bernardino County, California",06,071
0500000US06085,1791341,1060211,283179,158719,63805,55970,7835,60655,52007,8648,777032,616331,98174,86443,11731,62527,53665,8862,731130,392984,7997,2316,614,471,143,5067,3468,1599,384987,45984,51868,24238,27630,287135,147155,139980,338146,23955,3108,7050,4871,2179,13797,8928,4869,314191,25508,103398,24217,79181,185285,106931,78354,"Santa Clara County, California",06,085
0500000US06041,248260,201478,38068,29733,6146,4653,1493,2189,2053,136,163410,150307,7371,6282,1089,5732,5252,480,46782,21866,537,438,69,69,0,30,30,0,21329,7211,4113,2105,2008,10005,6185,3820,24916,1954,343,1131,462,669,480,292,188,22962,3848,13037,3163,9874,6077,3711,2366,"Marin County, California",06,041
0500000US06061,354772,314378,63064,55630,4430,3857,573,3004,2572,432,251314,238138,8434,7538,896,4742,4115,627,40394,25385,909,455,56,56,0,398,306,92,24476,6381,3453,1829,1624,14642,10064,4578,15009,1093,197,462,326,136,434,334,100,13916,2092,6356,1898,4458,5468,3037,2431,"Placer County, California",06,061
0500000US06093,41278,38992,6359,5840,452,401,51,67,63,4,32633,31344,858,714,144,431,373,58,2286,1123,87,71,0,0,0,16,16,0,1036,317,345,138,207,374,214,160,1163,117,26,77,77,0,14,14,0,1046,211,702,170,532,133,49,84,"Siskiyou County, California",06,093
0500000US06089,168441,159039,27838,25596,1582,1258,324,660,531,129,131201,125608,3964,3618,346,1629,1393,236,9402,4585,149,98,44,44,0,7,7,0,4436,1417,1124,487,637,1895,1091,804,4817,302,107,45,33,12,150,43,107,4515,1062,1200,521,679,2253,1048,1205,"Shasta County, California",06,089
0500000US06095,408415,321454,69032,51170,14496,12523,1973,3366,2990,376,252422,225235,19688,17320,2368,7499,6580,919,86961,51167,1210,402,210,166,44,598,523,75,49957,7551,11967,5745,6222,30439,18750,11689,35794,2090,213,1179,807,372,698,425,273,33704,2629,20402,4013,16389,10673,4966,5707,"Solano County, California",06,095
0500000US06015,25808,24099,4114,3645,330,310,20,139,105,34,19985,18448,1114,933,181,423,367,56,1709,819,1,0,1,0,1,0,0,0,818,257,177,12,165,384,144,240,890,78,15,32,0,32,31,14,17,812,173,498,172,326,141,69,72,"Del Norte County, California",06,015
0500000US06011,19926,14422,4314,2031,2276,1995,281,7,7,0,10108,7697,2341,2121,220,70,70,0,5504,2271,15,0,15,15,0,0,0,0,2256,206,1780,595,1185,270,240,30,3233,82,17,65,65,0,0,0,0,3151,182,2926,605,2321,43,10,33,"Colusa County, California",06,011
0500000US06021,25904,20325,5313,2787,2401,1970,431,125,113,12,15012,12726,2145,1961,184,141,141,0,5579,1757,16,1,15,0,15,0,0,0,1741,169,1275,555,720,297,122,175,3822,148,0,148,100,48,0,0,0,3674,112,3283,592,2691,279,138,141,"Glenn County, California",06,021
0500000US06007,212825,195701,32312,27445,3516,2779,737,1351,946,405,163389,151822,8271,6929,1342,3296,2560,736,17124,8939,223,91,98,77,21,34,25,9,8716,1731,2768,1445,1323,4217,1975,2242,8185,537,166,192,187,5,179,114,65,7648,1110,4312,951,3361,2226,1021,1205,"Butte County, California",06,007
0500000US06031,138382,110709,27948,17277,10298,7195,3103,373,293,80,82761,63508,17712,13675,4037,1541,1292,249,27673,9368,118,9,26,14,12,83,83,0,9250,1135,5317,1892,3425,2798,1652,1146,18305,1296,32,966,570,396,298,152,146,17009,767,14842,2638,12204,1400,518,882,"Kings County, California",06,031
0500000US06063,17892,17249,2234,2023,206,206,0,5,5,0,15015,14202,508,473,35,305,292,13,643,309,0,0,0,0,0,0,0,0,309,96,155,103,52,58,21,37,334,0,0,0,0,0,0,0,0,334,76,159,53,106,99,93,6,"Plumas County, California",06,063
0500000US06079,266471,237452,35744,28360,6908,5577,1331,476,435,41,201708,184503,13031,11736,1295,4174,3573,601,29019,13450,198,133,55,29,26,10,10,0,13252,3372,5774,2699,3075,4106,2372,1734,15569,1176,102,921,588,333,153,116,37,14393,1493,10603,1956,8647,2297,1290,1007,"San Luis Obispo County, California",06,079
0500000US06019,892606,689519,190460,112516,64936,51235,13701,13008,9835,3173,499059,370005,108172,92817,15355,20882,16907,3975,203087,79051,2125,612,393,229,164,1120,702,418,76926,7435,34080,14004,20076,35411,16337,19074,124036,7620,324,5625,3062,2563,1671,900,771,116416,6126,91194,14226,76968,19096,6333,12763,"Fresno County, California",06,019
0500000US06029,806894,632324,177841,97973,75932,59875,16057,3936,3211,725,454483,341527,105976,91457,14519,6980,6110,870,174570,59017,1434,423,387,288,99,624,452,172,57583,5990,34680,15430,19250,16913,9387,7526,115553,6527,479,4704,2338,2366,1344,776,568,109026,4688,93453,17404,76049,10885,4310,6575,"Kern County, California",06,029
0500000US06059,2966864,2016614,490274,279042,157633,125651,31982,53599,44590,9009,1526340,1232469,214065,191315,22750,79806,69990,9816,950250,503260,8572,2410,1590,1219,371,4572,3427,1145,494688,69850,119491,53030,66461,305347,145300,160047,446990,28969,2491,13543,9623,3920,12935,7915,5020,418021,29093,260422,56815,203607,128506,50214,78292,"Orange County, California",06,059
0500000US06111,795075,605065,142663,89172,47769,41720,6049,5722,5157,565,462402,378011,74690,66667,8023,9701,8903,798,190010,90397,1289,424,414,299,115,451,397,54,89108,13777,44210,18813,25397,31121,20237,10884,99613,5630,491,3910,2549,1361,1229,786,443,93983,6443,71225,11586,59639,16315,8321,7994,"Ventura County, California",06,111
0500000US06009,43151,40583,5962,5648,274,221,53,40,28,12,34621,33214,944,860,84,463,417,46,2568,1180,18,0,0,0,0,18,18,0,1162,621,222,177,45,319,191,128,1388,59,52,7,7,0,0,0,0,1329,466,613,244,369,250,100,150,"Calaveras County, California",06,009
0500000US06101,89006,67386,17410,10939,4628,3895,733,1843,1677,166,49976,42573,4878,4133,745,2525,2140,385,21620,10568,357,34,85,75,10,238,238,0,10211,1001,3079,1277,1802,6131,2835,3296,11052,776,32,379,351,28,365,240,125,10276,662,6151,1438,4713,3463,928,2535,"Sutter County, California",06,101
0500000US06081,718121,454710,107786,66536,25543,21844,3699,15707,13866,1841,346924,285749,32948,29420,3528,28227,24854,3373,263411,150583,2595,805,409,281,128,1381,1176,205,147988,21939,30346,14352,15994,95703,55462,40241,112828,6524,651,2629,1635,994,3244,2087,1157,106304,10427,46627,10517,36110,49250,27291,21959,"San Mateo County, California",06,081
0500000US06109,51492,48984,6633,6255,308,281,27,70,70,0,42351,40310,1674,1554,120,367,355,12,2508,1626,0,0,0,0,0,0,0,0,1626,615,468,177,291,543,307,236,882,7,0,3,0,3,4,0,4,875,262,307,67,240,306,203,103,"Tuolumne County, California",06,109
0500000US06077,671597,504139,139617,88070,39906,34356,5550,11641,9463,2178,364522,294154,52504,45995,6509,17864,14468,3396,167458,79420,1788,191,369,313,56,1228,581,647,77632,7337,26091,10537,15554,44204,20923,23281,88038,6403,535,3503,2525,978,2365,1220,1145,81635,4348,56299,11530,44769,20988,8014,12974,"San Joaquin County, California",06,077
0500000US06005,35835,33598,4174,3828,197,194,3,149,121,28,29424,27310,1616,1405,211,498,461,37,2237,1308,55,55,0,0,0,0,0,0,1253,459,392,188,204,402,219,183,929,31,0,15,4,11,16,16,0,898,196,454,63,391,248,194,54,"Amador County, California",06,005
